"","id_no","binomial","presence","origin","shape_Area","MSW3_ID","MSWFamilyLatin","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.Source","Diet.Certainty","ForStrat.Value","ForStrat.Certainty","ForStrat.Comment","Activity.Nocturnal","Activity.Crepuscular","Activity.Diurnal","Activity.Source","Activity.Certainty","BodyMass.Value","BodyMass.Source","BodyMass.SpecLevel","syn_name1","syn_name_sub1","syn_name2","syn_name_sub2","syn_name3","syn_name_sub3","syn_name4","syn_name_sub4","syn_name5","syn_name_sub5","syn_name6","syn_name_sub6"
"3064",136465,"Myzopoda schliemanni",1,1,3.067925085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3065",14294,"Naemorhedus baileyi",1,1,22.10994253,5227,"Bovidae",0,0,0,0,0,0,0,0,20,80,"Ref_1","ABC","G","A","",0,1,1,"Ref_1","ABC",27487.5,"Ref_117",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3066",14295,"Naemorhedus caudatus",1,1,2.729278925,5224,"Bovidae",0,0,0,0,0,0,0,0,20,80,"Ref_1","ABC","G","A","",0,1,1,"Ref_1","ABC",27000,"Ref_117",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3067",14296,"Naemorhedus goral",1,1,0.86157807,5225,"Bovidae",0,0,0,0,0,0,0,0,20,80,"Ref_1","ABC","G","A","",0,1,1,"Ref_1","ABC",28500,"Ref_117",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3068",14303,"Naemorhedus griseus",1,1,7.383554496,5226,"Bovidae",0,0,0,0,0,0,0,0,10,90,"Ref_32","ABC","G","A","",0,1,1,"Ref_1","ABC",27655.49,"Ref_2, Ref_3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3069",41589,"Nandinia binotata",1,1,0.157919765,4874,"Nandiniidae",10,10,0,0,0,0,80,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",2000,"Ref_117",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3070",8968,"Nanger dama",1,2,0.000628155,5151,"Bovidae",0,0,0,0,0,0,0,0,0,100,"Ref_1","ABC","G","A","",0,1,1,"Ref_1","ABC",71424.81,"Ref_58",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3071",8971,"Nanger granti",1,1,3.452258764,5149,"Bovidae",0,0,0,0,0,0,0,0,0,100,"Ref_61","ABC","G","A","",0,1,1,"Ref_1","ABC",55464.46,"Ref_58",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3072",63541,"Nanger soemmerringii",1,3,0.00874074,5150,"Bovidae",0,0,0,0,0,0,0,0,0,100,"Ref_2","D1","G","A","",0,1,1,"Ref_1","ABC",41582.93,"Ref_58",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3073",14325,"Nannosciurus melanotis",1,1,47.89468395,984,"Sciuridae",10,0,0,0,0,0,20,0,50,20,"Ref_3","D2","S","A","",0,0,1,"Ref_1","ABC",50,"Ref_117",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3074",14333,"Nanonycteris veldkampii",1,1,140.1644416,3814,"Pteropodidae",0,0,0,0,0,0,0,100,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",21.89,"Ref_58",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3075",42612,"Napaeozapus insignis",1,1,77.77327861,1301,"Dipodidae",20,0,0,0,0,0,10,0,40,30,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",22.3,"Ref_117",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3076",14352,"Nasalis larvatus",1,1,41.13721039,763,"Cercopithecidae",0,0,0,0,0,0,20,0,0,80,"Ref_1","ABC","S","A","",0,0,1,"Ref_1","ABC",9000,"Ref_117",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3077",41683,"Nasua narica",1,1,204.8970141,5071,"Procyonidae",10,20,0,0,0,0,70,0,0,0,"Ref_1","ABC","S","A","",0,0,1,"Ref_1","ABC",4030.05,"Ref_117",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3078",41684,"Nasua nasua",1,1,887.327586,5070,"Procyonidae",10,20,0,0,0,0,70,0,0,0,"Ref_1","ABC","S","A","",0,0,1,"Ref_1","ABC",3793.85,"Ref_117",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3079",14357,"Nasuella olivacea",1,1,15.87849727,5072,"Procyonidae",10,20,0,0,0,0,70,0,0,0,"Ref_1","ABC","G","A","",1,1,1,"Ref_1","ABC",1339.99,"Ref_117",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
